sample_id	taxon	path
MG753774.1	Clen	/mnt/c/Users/ndmic/WorkingDir/UvA/Tutorials/Dotplots/SnakeLast/data/MG753774.1.fasta
MK792749.1	Cser	/mnt/c/Users/ndmic/WorkingDir/UvA/Tutorials/Dotplots/SnakeLast/data/MK792749.1.fasta
MT271684.1	Clen	/mnt/c/Users/ndmic/WorkingDir/UvA/Tutorials/Dotplots/SnakeLast/data/MT271684.1.fasta
NC_032042.1	Crac	/mnt/c/Users/ndmic/WorkingDir/UvA/Tutorials/Dotplots/SnakeLast/data/NC_032042.1.fasta
